pid,collection_name,short_name,target_collection
umd:2,A Treasury of World's Fair Art and Architecture,WorldsFairs,WordsFairs
umd:1157,The Jim Henson Works,Henson,N/A
umd:1158,Films@UM,Films,N/A
umd:2256,Sterling Family Papers,Sterling,Maryland
umd:2257,Baroness Elsa von Freytag-Loringhoven Digital Library,Baroness,Literature
umd:2258,ArchivesUM,Archives,N/A
umd:3391,University AlbUM,Album,
umd:3392,Digital Collections,DC,
umd:10537,Early Modern Women Database,EMWDB,N/A
umd:10538,Irish Resources in the Humanities,Irish,N/A
umd:10539,Versioning Machine,VersioningMachine,N/A
umd:11575,Prange Digital Children's Book Collection,Prange,Postwar Japan
umd:15237,National Trust Library Historic Postcard Collection,Postcards,Postcards
umd:16719,Maryland History and Culture Bibliography,MDHC,Maryland
umd:47085,"Internet Archive: University of Maryland, College Park",IA,N/A
umd:50580,In Transition: Selected poems by the Baroness Elsa von Freytag-Loringhoven,InTransition,Literature
umd:57340,Maryland Map Collection,Maps,Maps
umd:66501,The Civil War in Maryland Collection,CivilWar,Maryland
umd:78013,Labor in America Collection,Labor,Labor
umd:78014,"GIS Data Repository, University of Maryland Libraries",GIS,N/A
umd:84798,United States Government Posters Collection,GovPosters,GovPosters
umd:165259,WMUC Collection,WMUC,Student Life
umd:166264,University of Maryland Libraries Preservation Digital Objects,Preservation,N/A
umd:212748,Katherine Anne Porter Correspondence,KAP,Literature
umd:233169,Historic Maryland Newspapers Project,Newspapers,Maryland
umd:289256,Montgomery County Immigrant Experience Archive,Immigrant,Maryland
umd:316578,Maryland,Maryland,Maryland
umd:495652,Mass Media and Culture Digital Collection,MMC,Broadcasting
umd:495654,Labor in America Collection,Labor,Labor
umd:640883,International Clarinet Association Research Center Score Collection: Select Solo de Concours Compositions,ICA,Performing Arts
